marca,categoria,tipo,modelo,inicio,fin
Iran Khodro,Terrestre,Sedan,Iran Khodro REY Final Edition,2025,2025
Iran Khodro,Terrestre,Sedan,Iran Khodro Elxir,2023,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Elxir Final Edition,2025,2025
Iran Khodro,Terrestre,Sedan,Iran Khodro Dena Coupe,2018,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Dena S,2020,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Paykan,1967,2005
Iran Khodro,Terrestre,Sedan,Iran Khodro Paykan Standard,1967,1994
Iran Khodro,Terrestre,Sedan,Iran Khodro Paykan Final Edition,2005,2005
Iran Khodro,Terrestre,Sedan,Iran Khodro Runna,1993,2005
Iran Khodro,Terrestre,Sedan,Iran Khodro Runna 1600,1993,2005
Iran Khodro,Terrestre,Sedan,Iran Khodro Runna Final Edition,2005,2005
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand,2001,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand LX,2001,2010
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand Soren,2010,2018
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand EF7,2015,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand GLX,2020,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Samand Final Edition,2025,2025
Iran Khodro,Terrestre,Sedan,Iran Khodro Dena,2011,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Dena Plus,2011,2020
Iran Khodro,Terrestre,Sedan,Iran Khodro Dena Final Edition,2025,2025
Iran Khodro,Terrestre,Sedan,Iran Khodro Peugeot 405,1991,2018
Iran Khodro,Terrestre,Sedan,Iran Khodro Peugeot Pars,1998,2020
Iran Khodro,Terrestre,Sedan,Iran Khodro Renault Tondar 90,2000,2018
Iran Khodro,Terrestre,Sedan,Iran Khodro Renault Logan,2005,Presente
Iran Khodro,Terrestre,Sedan,Iran Khodro Renault Symbol,2005,2020
Iran Khodro,Terrestre,Sedan,Iran Khodro Renault Final Edition,2025,2025
Iran Khodro,Terrestre,Sedan,Iran Khodro Final Edition,2025,2025
Iran Khodro,Terrestre,SUV,Iran Khodro Arisun Luxury,2024,Presente
Iran Khodro,Terrestre,SUV,Iran Khodro Arisun,2021,Presente
Iran Khodro,Terrestre,SUV,Iran Khodro Arisun 2WD,2021,2023
Iran Khodro,Terrestre,SUV,Iran Khodro Arisun 4WD,2023,Presente
Iran Khodro,Terrestre,SUV,Iran Khodro Arisun Final Edition,2025,2025
Iran Khodro,Terrestre,Engineering,Iran Khodro Samand Chassis System,2001,Presente
Iran Khodro,Terrestre,Pickup Truck,Iran Khodro Paykan Pickup,1975,2005
Iran Khodro,Terrestre,Pickup Truck,Iran Khodro Pride Pickup,1995,2018
Iran Khodro,Terrestre,Pickup Truck,Iran Khodro Pickup 151,1975,2020
Iran Khodro,Terrestre,Pickup Truck,Iran Khodro Pickup 151 Standard,1975,2020
Iran Khodro,Terrestre,Pickup Truck,Iran Khodro Pickup 151 Final Edition,2020,2020
Iran Khodro,Terrestre,Electric Technology,Iran Khodro EV Platform,2020,Presente
Iran Khodro,Terrestre,Engine,Iran Khodro EF Engine Platform,2010,Presente
Iran Khodro,Terrestre,Technology,Iran Khodro Engine Technology,1970,Presente
Iran Khodro,Terrestre,Compact MPV,Iran Khodro Renault Dokker,2017,Presente
Iran Khodro,Terrestre,Minivan,Iran Khodro Minibus 16,1985,Presente
Iran Khodro,Terrestre,Minivan,Iran Khodro Minibus 16 Standard,1985,2010
Iran Khodro,Terrestre,Minivan,Iran Khodro Minibus 16 Diesel,2010,Presente
Iran Khodro,Terrestre,Minivan,Iran Khodro Minibus Final Edition,2025,2025
Iran Khodro,Terrestre,Van,Iran Khodro Peugeot Partner,2012,Presente
Isuzu,Terrestre,Coupe,Isuzu Piazza,1980,1993
Isuzu,Terrestre,Coupe,Isuzu Impulse,1983,1992
Isuzu,Terrestre,Hatchback,Isuzu Gemini Hatchback,1977,1989
Isuzu,Terrestre,Sedan,Isuzu Bellett,1963,1973
Isuzu,Terrestre,Sedan,Isuzu Florian,1970,1979
Isuzu,Terrestre,Sedan,Isuzu Gemini,1974,2002
Isuzu,Terrestre,Sedan,Isuzu Stylus,1991,1993
Isuzu,Terrestre,SUV,Isuzu MU,1989,1998
Isuzu,Terrestre,SUV,Isuzu MU Wizard,1994,2004
Isuzu,Terrestre,SUV,Isuzu Rodeo,1988,2004
Isuzu,Terrestre,SUV,Isuzu Rodeo Sport,1998,2003
Isuzu,Terrestre,SUV,Isuzu Amigo,1989,2000
Isuzu,Terrestre,SUV,Isuzu VehiCROSS,1999,2001
Isuzu,Terrestre,SUV,Isuzu Trooper,1981,2002
Isuzu,Terrestre,SUV,Isuzu Trooper II,1992,2002
Isuzu,Terrestre,SUV,Isuzu Trooper Limited,1995,2002
Isuzu,Terrestre,SUV,Isuzu Trooper Base,1981,2002
Isuzu,Terrestre,SUV,Isuzu Axiom,2002,2004
Isuzu,Terrestre,SUV,Isuzu MU-X,2013,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X 3.0L,2013,2020
Isuzu,Terrestre,SUV,Isuzu MU-X 1.9L,2020,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X LS,2015,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X LS-U,2018,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X Z,2020,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X Adventure,2022,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X Platinum,2023,Presente
Isuzu,Terrestre,SUV,Isuzu MU-X Diesel,2013,Presente
Isuzu,Terrestre,Crane Truck,Isuzu Elf NKR Crane Carrier,1995,Presente
Isuzu,Terrestre,Crane Truck,Isuzu Forward Crane Carrier,1996,Presente
Isuzu,Terrestre,Crane Truck,Isuzu Giga Crane Carrier,1997,Presente
Isuzu,Terrestre,Crane Truck,Isuzu FTR Crane Carrier,1995,2010
Isuzu,Terrestre,Crane Truck,Isuzu FSR Crane Carrier,2000,2012
